Library name,Version,License name
"aleph","0.4.6","MIT License"
"amalloy/ring-buffer","1.3.1","Eclipse Public License"
"borkdude/dynaload","0.2.2","Eclipse Public License 1.0"
"borkdude/edamame","0.0.11","Eclipse Public License 1.0"
"byte-streams","0.2.4","MIT License"
"camel-snake-kebab","0.4.2","Eclipse Public License"
"clj-commons/iapetos","0.1.11","MIT License"
"clj-time","0.15.1","MIT License"
"clj-tuple","0.2.2","MIT License"
"com.brunobonacci/mulog","0.8.0","Apache License 2.0"
"com.brunobonacci/mulog-filesystem-metrics","0.8.0","Apache License 2.0"
"com.brunobonacci/mulog-jvm-metrics","0.8.0","Apache License 2.0"
"com.brunobonacci/mulog-prometheus","0.8.0","Apache License 2.0"
"com.clojure-goes-fast/clj-async-profiler","0.5.0","Eclipse Public License"
"com.fasterxml.jackson.core/jackson-annotations","2.10.5","The Apache Software License, Version 2.0"
"com.fasterxml.jackson.core/jackson-core","2.10.2","The Apache Software License, Version 2.0"
"com.fasterxml.jackson.core/jackson-databind","2.10.5.1","The Apache Software License, Version 2.0"
"com.fasterxml.jackson.datatype/jackson-datatype-jdk8","2.10.5","The Apache Software License, Version 2.0"
"com.github.jbellis/jamm","0.4.0","The Apache Software License, Version 2.0"
"com.github.luben/zstd-jni","1.4.9-1","unknown"
"com.github.piotr-yuxuan/malli-cli","0.0.5","European Union Public License 1.2 or later"
"com.sun.activation/jakarta.activation","1.2.2","EDL 1.0"
"com.widdindustries/tools.jvm","0.1.2","unknown"
"criterium","0.4.6","Eclipse Public License"
"danlentz/clj-uuid","0.1.9","Eclipse Public License"
"fundingcircle/jackdaw","0.8.0","unknown"
"insn","0.2.1","Eclipse Public License"
"io.aleph/dirigiste","0.1.5","MIT License"
"io.confluent/common-utils","6.1.1","unknown"
"io.confluent/kafka-avro-serializer","6.1.1","Apache License 2.0"
"io.confluent/kafka-schema-registry-client","6.1.1","Apache License 2.0"
"io.confluent/kafka-schema-serializer","6.1.1","Apache License 2.0"
"io.netty/netty-buffer","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-codec","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-codec-dns","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-codec-http","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-codec-socks","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-common","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-handler","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-handler-proxy","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-resolver","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-resolver-dns","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-transport","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-transport-native-epoll","4.1.63.Final","Apache License, Version 2.0"
"io.netty/netty-transport-native-unix-common","4.1.63.Final","Apache License, Version 2.0"
"io.prometheus/simpleclient","0.9.0","The Apache Software License, Version 2.0"
"io.prometheus/simpleclient_common","0.9.0","The Apache Software License, Version 2.0"
"io.prometheus/simpleclient_pushgateway","0.9.0","The Apache Software License, Version 2.0"
"io.swagger/swagger-annotations","1.6.2","Apache License 2.0"
"jakarta.annotation/jakarta.annotation-api","1.3.5","EPL 2.0"
"jakarta.ws.rs/jakarta.ws.rs-api","2.1.6","EPL 2.0"
"javax.xml.bind/jaxb-api","2.3.0","CDDL 1.1"
"jmh-clojure","0.4.0","Eclipse Public License"
"joda-time","2.10","Apache 2"
"manifold","0.1.8","MIT License"
"metosin/malli","0.5.1","unknown"
"net.sf.jopt-simple/jopt-simple","4.6","The MIT License"
"ns-tracker","0.4.0","Eclipse Public License"
"org.apache.avro/avro","1.9.2","Apache License, Version 2.0"
"org.apache.commons/commons-compress","1.19","Apache License, Version 2.0"
"org.apache.commons/commons-math3","3.2","The Apache Software License, Version 2.0"
"org.apache.kafka/connect-api","2.8.0","Apache License"
"org.apache.kafka/connect-json","2.8.0","Apache License"
"org.apache.kafka/kafka-clients","2.8.0","Apache License"
"org.apache.kafka/kafka-streams","2.8.0","Apache License"
"org.clojure/clojure","1.10.3","Eclipse Public License 1.0"
"org.clojure/core.cache","0.7.2","Eclipse Public License 1.0"
"org.clojure/core.specs.alpha","0.2.56","Eclipse Public License 1.0"
"org.clojure/data.csv","1.0.0","Eclipse Public License 1.0"
"org.clojure/data.fressian","0.2.1","Eclipse Public License 1.0"
"org.clojure/data.json","0.2.6","Eclipse Public License 1.0"
"org.clojure/data.priority-map","0.0.7","Eclipse Public License 1.0"
"org.clojure/java.classpath","0.3.0","Eclipse Public License 1.0"
"org.clojure/math.combinatorics","0.1.6","Eclipse Public License 1.0"
"org.clojure/spec.alpha","0.2.194","Eclipse Public License 1.0"
"org.clojure/test.check","1.1.0","Eclipse Public License 1.0"
"org.clojure/tools.logging","0.4.1","Eclipse Public License 1.0"
"org.clojure/tools.namespace","0.2.11","Eclipse Public License 1.0"
"org.clojure/tools.reader","1.3.4","Eclipse Public License 1.0"
"org.fressian/fressian","0.6.6","Eclipse Public License 1.0"
"org.glassfish.hk2.external/jakarta.inject","2.6.1","EPL 2.0"
"org.glassfish.hk2/osgi-resource-locator","1.0.3","EPL 2.0"
"org.glassfish.jersey.core/jersey-common","2.31","EPL 2.0"
"org.lz4/lz4-java","1.7.1","unknown"
"org.openjdk.jmh/jmh-core","1.24","GNU General Public License (GPL), version 2, with the Classpath exception"
"org.openjdk.jmh/jmh-generator-reflection","1.24","GNU General Public License (GPL), version 2, with the Classpath exception"
"org.rocksdb/rocksdbjni","5.18.4","unknown"
"org.slf4j/slf4j-api","1.7.30","MIT License"
"org.xerial.snappy/snappy-java","1.1.8.1","unknown"
"piotr-yuxuan/closeable-map","0.35.0","European Union Public License 1.2 or later"
"potemkin","0.4.5","MIT License"
"primitive-math","0.1.6","MIT License"
"riddley","0.1.12","MIT License"
